lon,lat,flaeche,kaltmiete,europrom2
12.343239040165,51.32729845,246.00,1820.00,7.3983739837398
12.4403518,51.3488523,339.88,1904.63,5.603830763799
12.2877402,51.357453,177.00,1050.00,5.9322033898305
12.41754,51.32185,427.45,3134.00,7.3318516785589
12.41682,51.32077,260.50,1399.00,5.3704414587332
12.2819522992755,51.327894837074,193.06,770.05,3.9886563762561
12.373188891897,51.3212859,225.00,1555.00,6.9111111111111
12.37526975,51.3155868,190.28,1317.00,6.921379020391
12.373502,51.3667873,225.19,1420.00,6.3057862249656
12.335051109104,51.33301665,217.00,1296.00,5.9723502304147
12.404963189526,51.332077666217,334.52,2655.00,7.9367451871338
12.3162369320913,51.3311237,217.50,1076.10,4.9475862068966
12.41655,51.32488,260.77,1465.00,5.6179775280899
12.3077835,51.3169989,174.50,847.00,4.8538681948424
12.3348594,51.3729303,216.00,1012.00,4.6851851851852
12.410246,51.3410147,495.37,3709.00,7.4873327008095
12.4154743,51.3263156,2386.47,16549.65,6.9347823354159
12.3280369,51.3403157,227.00,1240.00,5.4625550660793
12.3933738797069,51.3383011,290.22,1716.00,5.9127558403969
12.341183206203,51.3211558,244.00,1636.00,6.7049180327869
12.32305013707,51.3389051,261.00,1387.00,5.3141762452107
12.4469728,51.3469127,121.00,786.50,6.5
12.3985979,51.3315585,212.00,1200.00,5.6603773584906
12.3297982,51.339647,286.62,1440.00,5.0240736864141
12.3695635,51.3876181,122.00,778.00,6.3770491803279
12.32145,51.30172,162.68,889.00,5.4647160068847
12.4152,51.32151,179.00,1190.00,6.6480446927374
12.4215897,51.3211697,595.59,3002.50,5.0412196309542
12.36362165,51.36424105,168.00,1040.00,6.1904761904762
12.41457,51.33575,201.89,1212.00,6.0032691069394
12.3538571,51.3636931,133.94,795.00,5.9354935045543
12.4116473,51.3561392,429.22,2147.58,5.0034481151857
12.2707437,51.3064965,333.68,1083.50,3.2471229920882
12.272775,51.3825182,233.00,1181.00,5.068669527897
12.41421,51.35963,1342.98,9100.65,6.7764598132511
12.4149128,51.3533874,514.70,2397.14,4.6573537983291
12.38305,51.3051,177.00,1160.00,6.5536723163842
12.28858,51.32201,184.00,1029.00,5.5923913043478
12.41367,51.36064,586.50,2642.00,4.5046888320546
12.42461010416,51.32058445,130.00,661.00,5.0846153846154
12.3255126,51.3446914,152.49,1060.00,6.951275493475
12.3639623,51.3412,214.85,1400.00,6.516174074936
12.409049137491,51.37168725,228.50,1152.00,5.0415754923414
12.3681963,51.3579792,1535.18,12534.81,8.1650425357287
12.2639725,51.3163286,345.87,1401.74,4.0527944025212
12.41241,51.35416,216.00,1025.00,4.7453703703704
12.3849784,51.3650718,209.00,1123.00,5.3732057416268
12.3776202,51.3151072,1024.00,7398.00,7.224609375
12.3802822568392,51.3084475,689.48,4030.00,5.844984626095
12.41304,51.3315,171.00,991.00,5.7953216374269
12.3972307,51.3466547,348.48,1767.00,5.0705922865014
12.4598978,51.3585126,337.10,1436.63,4.2617324236132
12.28669,51.3234,210.78,1010.00,4.7917259702059
12.41187,51.34032,192.00,816.00,4.25
12.3253968,51.3404313,500.60,2999.00,5.9908110267679
12.3799,51.3107,527.27,3717.00,7.0495192216511
12.41124,51.34557,481.00,2750.00,5.7172557172557
12.41124,51.34588,658.80,2803.00,4.2547055251973
12.3437688,51.3308092,363.90,2730.00,7.5020610057708
12.3350692,51.3705629,369.94,1647.00,4.4520733091853
12.3357849,51.3891079,618.20,3953.20,6.3946942736978
12.405424422123,51.331435,478.00,2481.00,5.1903765690377
12.4090158,51.3445003,504.30,2214.18,4.3906008328376
12.40086865259,51.3260509,138.12,810.00,5.8644656820156
12.3316155666058,51.34041325,256.67,1460.00,5.6882378150933
12.2689136,51.3056346,176.46,592.00,3.3548679587442
12.39000305,51.29765655,160.97,872.00,5.4171584767348
12.4046531,51.346454,170.00,826.00,4.8588235294118
12.4330532,51.3076702,420.43,2175.00,5.1732749803772
